iter	Passed	Remaining
0	153	15244
1	163	7989
2	171	5540
3	180	4322
4	187	3561
5	191	2999
6	194	2589
7	198	2278
8	201	2038
9	205	1845
10	208	1685
11	211	1554
12	215	1439
13	218	1341
14	221	1256
15	224	1181
16	228	1115
17	231	1055
18	235	1002
19	238	954
20	241	910
21	245	869
22	248	831
23	251	796
24	254	762
25	257	732
26	260	704
27	263	677
28	266	652
29	269	628
30	272	607
31	275	586
32	279	566
33	282	547
34	285	529
35	288	512
36	291	495
37	294	479
38	297	464
39	300	450
40	303	436
41	306	422
42	309	410
43	312	397
44	315	385
45	318	373
46	321	362
47	324	352
48	327	341
49	330	330
50	333	320
51	336	310
52	339	301
53	342	291
54	345	282
55	348	273
56	351	265
57	354	257
58	358	248
59	360	240
60	364	232
61	367	225
62	370	217
63	373	210
64	376	202
65	379	195
66	382	188
67	385	181
68	388	174
69	391	167
70	394	161
71	397	154
72	400	147
73	403	141
74	405	135
75	409	129
76	412	123
77	415	117
78	418	111
79	421	105
80	424	99
81	427	93
82	430	88
83	433	82
84	436	77
85	439	71
86	442	66
87	445	60
88	448	55
89	451	50
90	454	44
91	457	39
92	460	34
93	463	29
94	466	24
95	469	19
96	472	14
97	475	9
98	478	4
99	481	0
