iter	RMSE
0	72725.57511
1	68052.76406
2	64203.79076
3	60647.25983
4	57114.43892
5	54421.77222
6	51732.31578
7	49708.50219
8	47624.93149
9	45439.03985
10	43589.78987
11	41965.08885
12	40364.45086
13	39127.81738
14	37942.48291
15	36538.65958
16	35306.3681
17	34314.63606
18	33347.87397
19	32441.60829
20	31366.77125
21	30492.13933
22	29939.56454
23	29342.05391
24	28895.27478
25	28402.06576
26	27806.05567
27	27222.34902
28	26792.54473
29	26198.09773
30	25820.28492
31	25310.00784
32	25012.50914
33	24640.92523
34	24229.38355
35	23934.74267
36	23715.99197
37	23419.02269
38	23180.98368
39	22919.01946
40	22614.79697
41	22394.30321
42	22179.99278
43	21985.43506
44	21788.21253
45	21605.37262
46	21442.01281
47	21225.53857
48	21031.60455
49	20839.42682
50	20657.05189
51	20501.28765
52	20312.46544
53	20167.37821
54	20114.15728
55	20028.23405
56	19895.84548
57	19850.56891
58	19688.74988
59	19528.07672
60	19440.96971
61	19381.1567
62	19245.1874
63	19049.66184
64	18991.50909
65	18916.90841
66	18733.06412
67	18579.91421
68	18439.84822
69	18366.58734
70	18245.10513
71	18171.00708
72	18117.44466
73	17997.9487
74	17968.88402
75	17860.45011
76	17823.42585
77	17656.99688
78	17633.41452
79	17603.37454
80	17453.56762
81	17423.90904
82	17392.61604
83	17299.94444
84	17140.70967
85	17010.6292
86	16868.37642
87	16749.51599
88	16688.54919
89	16600.06942
90	16473.00934
91	16447.23175
92	16340.92716
93	16238.17231
94	16108.42725
95	16084.28026
96	15955.97904
97	15883.74662
98	15743.73884
99	15599.79575
