iter	Passed	Remaining
0	2	2420
1	5	2586
2	7	2437
3	9	2335
4	11	2261
5	13	2200
6	15	2163
7	17	2127
8	19	2096
9	20	2075
10	22	2060
11	24	2036
12	26	2032
13	28	2017
14	30	2006
15	32	1994
16	34	1979
17	36	1966
18	37	1954
19	39	1945
20	41	1944
21	43	1947
22	45	1938
23	47	1936
24	49	1926
25	51	1921
26	53	1918
27	54	1908
28	56	1903
29	58	1893
30	60	1887
31	62	1879
32	63	1873
33	65	1867
34	67	1861
35	69	1858
36	71	1856
37	73	1854
38	75	1849
39	76	1843
40	78	1839
41	80	1835
42	82	1831
43	84	1827
44	86	1826
45	87	1822
46	89	1819
47	91	1815
48	93	1811
49	95	1805
50	96	1799
51	98	1795
52	100	1790
53	101	1785
54	103	1782
55	105	1777
56	107	1772
57	108	1767
58	110	1763
59	112	1760
60	114	1759
61	116	1758
62	118	1762
63	120	1762
64	122	1759
65	123	1753
66	125	1747
67	127	1744
68	129	1741
69	131	1744
70	133	1747
71	135	1747
72	137	1744
73	139	1740
74	140	1736
75	142	1732
76	144	1731
77	146	1728
78	148	1731
79	150	1732
80	152	1732
81	154	1729
82	156	1725
83	157	1722
84	160	1722
85	162	1721
86	163	1717
87	165	1717
88	167	1716
89	169	1714
90	171	1711
91	173	1708
92	174	1705
93	176	1703
94	178	1700
95	180	1697
96	182	1696
97	183	1692
98	185	1689
99	187	1687
100	189	1683
101	190	1681
102	192	1677
103	194	1674
104	196	1671
105	197	1668
106	199	1665
107	201	1663
108	203	1659
109	204	1657
110	205	1647
111	207	1643
112	208	1640
113	210	1637
114	212	1635
115	214	1632
116	215	1628
117	217	1625
118	219	1621
119	220	1617
120	222	1614
121	223	1611
122	225	1608
123	227	1607
124	229	1605
125	231	1602
126	232	1600
127	234	1597
128	236	1594
129	237	1591
130	239	1588
131	241	1585
132	242	1583
133	244	1580
134	245	1575
135	247	1572
136	249	1569
137	250	1567
138	252	1561
139	253	1559
140	255	1554
141	256	1552
142	258	1551
143	260	1546
144	261	1544
145	262	1537
146	264	1535
147	266	1532
148	267	1529
149	269	1527
150	270	1523
151	272	1521
152	274	1519
153	276	1518
154	278	1516
155	279	1514
156	281	1512
157	283	1509
158	285	1507
159	286	1505
160	288	1503
161	290	1500
162	291	1498
163	293	1497
164	295	1494
165	297	1492
166	298	1487
167	299	1484
168	301	1482
169	303	1480
170	304	1478
171	306	1476
172	308	1474
173	310	1472
174	311	1469
175	313	1468
176	314	1463
177	316	1461
178	318	1459
179	319	1457
180	321	1454
181	323	1451
182	324	1449
183	326	1447
184	328	1445
185	330	1445
186	332	1444
187	333	1442
188	335	1439
189	336	1434
190	338	1431
191	339	1429
192	341	1427
193	343	1425
194	345	1424
195	346	1422
196	348	1420
197	350	1418
198	351	1415
199	353	1413
200	354	1410
201	356	1408
202	358	1406
203	362	1413
204	364	1412
205	365	1408
206	367	1409
207	376	1432
208	377	1430
209	379	1427
210	381	1425
211	382	1423
212	384	1420
213	385	1415
214	387	1413
215	388	1409
216	389	1406
217	391	1404
218	393	1402
219	394	1400
220	396	1398
221	398	1396
222	400	1394
223	401	1391
224	402	1387
225	404	1385
226	406	1383
227	407	1381
228	409	1378
229	411	1376
230	413	1375
231	414	1372
232	416	1370
233	418	1368
234	419	1366
235	421	1364
236	423	1362
237	425	1361
238	426	1359
239	428	1357
240	430	1355
241	432	1353
242	433	1351
243	435	1348
244	437	1346
245	438	1344
246	440	1342
247	442	1340
248	444	1339
249	445	1337
250	447	1334
251	449	1332
252	450	1331
253	452	1329
254	454	1327
255	456	1325
256	457	1323
257	459	1322
258	461	1320
259	463	1318
260	465	1316
261	466	1314
262	468	1312
263	469	1309
264	471	1309
265	473	1307
266	475	1305
267	477	1303
268	478	1301
269	480	1299
270	482	1297
271	483	1295
272	485	1293
273	487	1291
274	489	1289
275	490	1287
276	492	1286
277	494	1284
278	495	1281
279	497	1279
280	499	1277
281	501	1275
282	502	1273
283	504	1272
284	506	1270
285	507	1267
286	509	1265
287	511	1263
288	512	1261
289	514	1259
290	516	1257
291	517	1255
292	520	1254
293	522	1253
294	524	1252
295	525	1250
296	527	1248
297	529	1246
298	530	1244
299	532	1242
300	534	1240
301	535	1238
302	537	1236
303	539	1234
304	540	1232
305	542	1230
306	544	1228
307	545	1226
308	547	1224
309	549	1222
310	551	1220
311	552	1218
312	554	1216
313	555	1214
314	557	1212
315	558	1209
316	560	1207
317	561	1205
318	563	1203
319	565	1201
320	567	1199
321	568	1197
322	570	1195
323	571	1193
324	573	1191
325	575	1188
326	576	1186
327	578	1184
328	579	1182
329	581	1180
330	583	1178
331	584	1176
332	586	1174
333	587	1172
334	589	1170
335	591	1168
336	592	1166
337	594	1164
338	595	1162
339	597	1160
340	599	1158
341	601	1156
342	602	1154
343	604	1152
344	606	1150
345	607	1148
346	609	1147
347	611	1145
348	613	1143
349	614	1141
350	616	1139
351	618	1138
352	619	1136
353	621	1134
354	623	1132
355	625	1130
356	626	1129
357	628	1127
358	630	1125
359	632	1124
360	633	1122
361	635	1120
362	637	1118
363	638	1116
364	640	1114
365	642	1112
366	656	1132
367	658	1130
368	660	1129
369	662	1127
370	663	1125
371	665	1123
372	667	1121
373	669	1119
374	670	1117
375	672	1116
376	675	1116
377	677	1115
378	680	1114
379	682	1112
380	683	1110
381	685	1108
382	686	1106
383	688	1104
384	690	1102
385	691	1100
386	693	1098
387	694	1096
388	696	1094
389	698	1092
390	699	1090
391	701	1088
392	703	1087
393	705	1085
394	707	1084
395	709	1081
396	711	1080
397	712	1077
398	714	1075
399	716	1074
400	717	1071
401	719	1069
402	720	1067
403	722	1065
404	724	1064
405	725	1062
406	727	1060
407	729	1058
408	730	1056
409	732	1054
410	734	1052
411	735	1050
412	737	1048
413	738	1045
414	740	1043
415	742	1041
416	743	1039
417	745	1037
418	747	1036
419	748	1034
420	750	1032
421	752	1030
422	753	1028
423	755	1026
424	757	1024
425	758	1022
426	760	1021
427	762	1019
428	764	1018
429	767	1016
430	768	1015
431	770	1013
432	772	1011
433	774	1010
434	776	1008
435	778	1006
436	780	1005
437	781	1003
438	783	1001
439	785	999
440	787	998
441	789	996
442	791	994
443	793	993
444	794	991
445	796	989
446	798	987
447	800	985
448	801	983
449	803	981
450	804	979
451	806	977
452	808	975
453	809	973
454	811	971
455	812	969
456	814	967
457	816	965
458	817	963
459	819	962
460	821	960
461	822	958
462	824	956
463	826	954
464	827	952
465	829	950
466	831	948
467	832	946
468	834	944
469	835	942
470	837	940
471	839	938
472	840	936
473	842	935
474	844	933
475	846	931
476	847	929
477	849	927
478	851	926
479	853	924
480	854	922
481	856	920
482	858	918
483	860	916
484	861	915
485	863	913
486	865	911
487	866	909
488	868	907
489	869	905
490	871	903
491	873	901
492	874	899
493	876	897
494	878	896
495	880	894
496	881	892
497	883	890
498	885	888
499	886	886
500	888	885
501	890	883
502	892	881
503	894	880
504	896	878
505	897	876
506	899	874
507	901	872
508	902	870
509	904	869
510	906	867
511	907	865
512	909	863
513	911	861
514	913	859
515	914	857
516	916	856
517	918	854
518	919	852
519	921	850
520	923	848
521	926	848
522	927	846
523	929	844
524	930	842
525	932	840
526	934	838
527	935	836
528	937	834
529	939	832
530	940	831
531	942	829
532	943	827
533	945	825
534	947	823
535	949	821
536	950	819
537	952	818
538	954	816
539	956	814
540	957	812
541	959	810
542	961	808
543	963	807
544	965	805
545	966	804
546	968	802
547	970	800
548	972	798
549	973	796
550	975	795
551	977	793
552	979	791
553	980	789
554	982	787
555	984	786
556	986	784
557	987	782
558	989	780
559	991	778
560	993	777
561	995	775
562	996	773
563	998	772
564	1000	770
565	1002	768
566	1003	766
567	1005	764
568	1007	763
569	1009	761
570	1011	759
571	1012	757
572	1014	756
573	1016	754
574	1017	752
575	1019	750
576	1021	748
577	1023	746
578	1025	745
579	1026	743
580	1028	741
581	1030	739
582	1031	737
583	1033	736
584	1035	734
585	1037	732
586	1038	730
587	1040	729
588	1042	727
589	1044	725
590	1046	724
591	1048	722
592	1049	720
593	1052	719
594	1054	717
595	1056	716
596	1058	714
597	1060	712
598	1062	711
599	1063	709
600	1065	707
601	1067	705
602	1069	704
603	1071	702
604	1073	700
605	1075	698
606	1076	697
607	1078	695
608	1079	693
609	1081	691
610	1084	690
611	1086	688
612	1088	687
613	1091	685
614	1092	684
615	1095	682
616	1097	681
617	1099	679
618	1101	677
619	1103	676
620	1104	674
621	1106	672
622	1108	670
623	1110	669
624	1112	667
625	1114	665
626	1115	663
627	1118	662
628	1119	660
629	1121	658
630	1123	657
631	1125	655
632	1127	653
633	1129	652
634	1131	650
635	1133	648
636	1135	647
637	1137	645
638	1139	643
639	1141	641
640	1142	640
641	1144	638
642	1146	636
643	1148	634
644	1150	633
645	1152	631
646	1154	629
647	1156	628
648	1158	626
649	1160	624
650	1162	623
651	1164	621
652	1166	619
653	1168	618
654	1170	616
655	1171	614
656	1173	612
657	1175	611
658	1177	609
659	1179	607
660	1181	605
661	1183	604
662	1185	602
663	1187	600
664	1189	599
665	1191	597
666	1192	595
667	1196	594
668	1199	593
669	1201	591
670	1204	590
671	1207	589
672	1210	588
673	1213	586
674	1216	585
675	1217	583
676	1220	582
677	1222	580
678	1224	579
679	1226	577
680	1228	575
681	1231	573
682	1233	572
683	1236	571
684	1239	569
685	1242	568
686	1245	567
687	1247	565
688	1250	564
689	1252	562
690	1255	561
691	1257	559
692	1259	557
693	1260	555
694	1263	554
695	1265	552
696	1266	550
697	1268	548
698	1270	547
699	1272	545
700	1275	543
701	1277	542
702	1278	540
703	1280	538
704	1282	536
705	1285	535
706	1286	533
707	1288	531
708	1290	529
709	1292	527
710	1294	526
711	1295	524
712	1297	522
713	1299	520
714	1301	518
715	1303	516
716	1305	515
717	1307	513
718	1309	511
719	1310	509
720	1314	508
721	1318	507
722	1329	509
723	1332	507
724	1334	506
725	1336	504
726	1338	502
727	1340	500
728	1342	499
729	1345	497
730	1348	496
731	1350	494
732	1352	492
733	1355	491
734	1357	489
735	1360	487
736	1362	486
737	1364	484
738	1367	482
739	1369	481
740	1371	479
741	1374	477
742	1377	476
743	1380	474
744	1382	473
745	1385	471
746	1387	469
747	1389	468
748	1391	466
749	1393	464
750	1394	462
751	1396	460
752	1399	458
753	1401	457
754	1403	455
755	1405	453
756	1407	451
757	1408	449
758	1410	447
759	1412	446
760	1414	444
761	1416	442
762	1418	440
763	1420	438
764	1422	437
765	1424	435
766	1426	433
767	1427	431
768	1429	429
769	1431	427
770	1433	425
771	1435	423
772	1437	422
773	1439	420
774	1440	418
775	1442	416
776	1444	414
777	1446	412
778	1448	410
779	1450	409
780	1452	407
781	1455	405
782	1457	403
783	1459	402
784	1461	400
785	1463	398
786	1465	396
787	1468	394
788	1469	393
789	1471	391
790	1473	389
791	1476	387
792	1478	385
793	1480	384
794	1482	382
795	1484	380
796	1486	378
797	1488	376
798	1489	374
799	1491	372
800	1493	371
801	1495	369
802	1497	367
803	1499	365
804	1501	363
805	1503	361
806	1505	359
807	1506	358
808	1508	356
809	1510	354
810	1512	352
811	1514	350
812	1516	348
813	1517	346
814	1519	344
815	1521	343
816	1523	341
817	1525	339
818	1527	337
819	1529	335
820	1530	333
821	1532	331
822	1534	329
823	1536	328
824	1537	326
825	1539	324
826	1541	322
827	1543	320
828	1545	318
829	1547	316
830	1549	315
831	1550	313
832	1552	311
833	1554	309
834	1556	307
835	1558	305
836	1560	303
837	1561	301
838	1563	300
839	1565	298
840	1567	296
841	1569	294
842	1571	292
843	1573	290
844	1575	288
845	1577	287
846	1578	285
847	1580	283
848	1582	281
849	1584	279
850	1586	277
851	1588	275
852	1590	274
853	1592	272
854	1593	270
855	1595	268
856	1597	266
857	1599	264
858	1602	262
859	1604	261
860	1605	259
861	1607	257
862	1609	255
863	1611	253
864	1613	251
865	1614	249
866	1616	247
867	1618	246
868	1620	244
869	1622	242
870	1623	240
871	1625	238
872	1627	236
873	1629	234
874	1630	232
875	1632	231
876	1634	229
877	1636	227
878	1638	225
879	1640	223
880	1642	221
881	1644	219
882	1645	218
883	1647	216
884	1649	214
885	1650	212
886	1652	210
887	1654	208
888	1655	206
889	1657	204
890	1659	202
891	1660	201
892	1662	199
893	1664	197
894	1666	195
895	1668	193
896	1669	191
897	1671	189
898	1673	187
899	1674	186
900	1676	184
901	1678	182
902	1680	180
903	1681	178
904	1683	176
905	1685	174
906	1687	173
907	1689	171
908	1691	169
909	1693	167
910	1695	165
911	1697	163
912	1698	161
913	1700	160
914	1702	158
915	1704	156
916	1706	154
917	1707	152
918	1709	150
919	1711	148
920	1713	146
921	1715	145
922	1717	143
923	1719	141
924	1721	139
925	1723	137
926	1724	135
927	1726	133
928	1728	132
929	1730	130
930	1732	128
931	1734	126
932	1736	124
933	1737	122
934	1739	120
935	1741	119
936	1743	117
937	1745	115
938	1747	113
939	1749	111
940	1751	109
941	1752	107
942	1754	106
943	1756	104
944	1758	102
945	1760	100
946	1762	98
947	1763	96
948	1765	94
949	1767	93
950	1769	91
951	1771	89
952	1773	87
953	1775	85
954	1777	83
955	1778	81
956	1780	80
957	1782	78
958	1784	76
959	1786	74
960	1788	72
961	1790	70
962	1791	68
963	1793	66
964	1795	65
965	1797	63
966	1798	61
967	1800	59
968	1802	57
969	1804	55
970	1806	53
971	1807	52
972	1809	50
973	1811	48
974	1813	46
975	1815	44
976	1816	42
977	1818	40
978	1820	39
979	1821	37
980	1823	35
981	1825	33
982	1826	31
983	1828	29
984	1830	27
985	1831	26
986	1833	24
987	1835	22
988	1836	20
989	1838	18
990	1840	16
991	1842	14
992	1844	13
993	1846	11
994	1847	9
995	1849	7
996	1851	5
997	1852	3
998	1854	1
999	1856	0
