iter	RMSE
0	74694.58352
1	72535.07705
2	70347.7022
3	67972.86659
4	65760.98725
5	63763.36133
6	61900.72307
7	60051.83815
8	58292.07533
9	56588.68927
10	55120.86999
11	53765.02245
12	52385.53673
13	51117.48316
14	49938.73154
15	48884.17896
16	47750.84116
17	46764.94603
18	45803.92211
19	44943.41496
20	44062.48966
21	43214.58814
22	42503.80665
23	41705.77276
24	40975.85648
25	40404.18465
26	39921.85856
27	39265.98863
28	38705.98687
29	38163.34857
30	37607.66175
31	37146.56446
32	36715.6442
33	36221.69836
34	35791.06597
35	35352.18779
36	35038.89899
37	34558.73282
38	34224.65095
39	33944.36931
40	33600.14499
41	33278.92446
42	32967.15776
43	32675.37095
44	32412.40328
45	32225.24993
46	31988.96078
47	31743.76193
48	31525.02276
49	31235.99384
50	30956.1173
51	30702.10912
52	30471.10211
53	30268.68567
54	30157.70437
55	29916.56179
56	29701.08177
57	29516.79038
58	29365.73217
59	29178.51101
60	28978.64691
61	28888.47398
62	28684.59797
63	28520.62779
64	28390.40086
65	28295.19299
66	28180.87489
67	28058.9818
68	27945.24516
69	27842.78541
70	27725.46182
71	27602.1986
72	27484.81123
73	27454.22902
74	27359.15706
75	27334.22404
76	27275.13153
77	27174.63037
78	27154.07877
79	27080.9055
80	26974.79833
81	26912.83293
82	26815.32099
83	26735.3405
84	26657.33349
85	26568.74476
86	26466.43469
87	26347.10788
88	26287.16607
89	26275.29558
90	26232.68869
91	26182.03746
92	26129.82466
93	26039.9604
94	25950.48661
95	25896.24525
96	25877.24148
97	25788.75546
98	25733.46586
99	25673.8235
100	25630.46452
101	25582.22406
102	25525.7547
103	25511.20015
104	25487.13362
105	25477.21716
106	25447.51205
107	25432.45343
108	25392.7649
109	25338.53358
110	25287.25881
111	25244.13455
112	25170.51928
113	25153.2938
114	25104.64797
115	25083.07554
116	25061.19667
117	25000.42649
118	24949.13776
119	24887.71112
120	24827.81497
121	24794.70722
122	24781.50048
123	24705.28219
124	24661.16791
125	24629.29626
126	24595.22585
127	24565.20522
128	24517.97939
129	24502.52184
130	24467.73152
131	24435.4084
132	24428.15348
133	24418.90099
134	24342.38113
135	24306.78376
136	24289.93698
137	24274.00253
138	24259.94122
139	24205.04944
140	24191.89773
141	24175.28672
142	24137.743
143	24098.70794
144	24079.66002
145	24067.03809
146	24015.23839
147	23996.52934
148	23946.35088
149	23888.44321
150	23868.94259
151	23852.80763
152	23812.50666
153	23764.85203
154	23715.1615
155	23659.96306
156	23624.05271
157	23610.20507
158	23592.11569
159	23549.42988
160	23508.86252
161	23458.83793
162	23426.97633
163	23403.22581
164	23372.01414
165	23362.20521
166	23310.91576
167	23269.25196
168	23244.49725
169	23192.22782
170	23152.54107
171	23102.0851
172	23044.64042
173	23036.13657
174	23025.5761
175	22991.38035
176	22948.0357
177	22907.16601
178	22896.78351
179	22870.59316
180	22853.77232
181	22836.43446
182	22829.49594
183	22794.60417
184	22758.60356
185	22725.67416
186	22702.61316
187	22657.57235
188	22611.13982
189	22577.74138
190	22539.8519
191	22514.03958
192	22480.0121
193	22451.82605
194	22421.91868
195	22396.54928
196	22361.51635
197	22326.65335
198	22288.48672
199	22258.68484
200	22229.90808
201	22192.94134
202	22150.73634
203	22110.46495
204	22086.65699
205	22058.15981
206	22025.37146
207	21993.67113
208	21983.7054
209	21925.44593
210	21921.22946
211	21871.76853
212	21837.09739
213	21807.54637
214	21780.82984
215	21748.80206
216	21722.10571
217	21703.39284
218	21668.01958
219	21626.00005
220	21616.83684
221	21593.4588
222	21588.87133
223	21558.96251
224	21510.38924
225	21489.08327
226	21482.07867
227	21451.95264
228	21427.80499
229	21372.04953
230	21338.60296
231	21295.42941
232	21272.94484
233	21266.16369
234	21259.64433
235	21256.52044
236	21220.43581
237	21171.41058
238	21136.13218
239	21076.60302
240	21071.44751
241	21034.99938
242	21015.06956
243	21005.74259
244	20966.1951
245	20946.61401
246	20919.87383
247	20903.19001
248	20883.37975
249	20878.20713
250	20841.55191
251	20820.7438
252	20802.09601
253	20784.89379
254	20742.18126
255	20696.60987
256	20654.70527
257	20619.69617
258	20567.56192
259	20540.82559
260	20520.56004
261	20498.53682
262	20480.88141
263	20459.82479
264	20426.14091
265	20384.77534
266	20378.11821
267	20366.41299
268	20331.57269
269	20283.71105
270	20255.6153
271	20225.55806
272	20193.67495
273	20182.68334
274	20153.79651
275	20129.52105
276	20099.19307
277	20094.04835
278	20066.90535
279	20035.36415
280	20002.38292
281	19972.8475
282	19936.76603
283	19891.96919
284	19860.9891
285	19824.51813
286	19804.98699
287	19767.01189
288	19742.11514
289	19737.91055
290	19708.65168
291	19687.716
292	19650.42152
293	19631.07625
294	19600.71864
295	19585.70543
296	19554.11284
297	19520.79838
298	19517.78081
299	19498.9578
300	19495.30485
301	19477.64519
302	19462.47128
303	19431.55737
304	19408.22297
305	19379.06284
306	19351.6374
307	19317.26139
308	19314.41699
309	19280.20264
310	19265.62326
311	19250.52574
312	19247.1873
313	19220.49952
314	19217.87544
315	19200.50704
316	19166.29619
317	19136.69313
318	19102.57418
319	19099.10379
320	19069.39749
321	19066.94997
322	19031.87624
323	18994.06876
324	18991.10587
325	18980.98237
326	18964.35727
327	18961.66976
328	18960.29564
329	18928.07859
330	18908.39847
331	18886.35512
332	18884.29857
333	18867.04513
334	18846.44553
335	18830.62796
336	18801.06327
337	18780.5298
338	18749.64775
339	18727.85526
340	18709.97028
341	18708.68413
342	18690.48047
343	18681.21107
344	18665.52905
345	18646.33225
346	18611.98629
347	18590.23875
348	18588.32625
349	18572.96606
350	18556.69366
351	18529.43444
352	18508.25218
353	18506.6741
354	18493.24712
355	18470.71781
356	18453.26898
357	18437.5019
358	18417.44453
359	18403.8146
360	18396.37596
361	18373.3751
362	18371.89308
363	18370.89691
364	18348.21363
365	18323.26903
366	18296.82163
367	18272.41606
368	18256.0734
369	18236.9842
370	18236.09895
371	18227.06723
372	18213.40117
373	18196.35086
374	18189.44613
375	18188.44527
376	18164.97288
377	18148.52131
378	18133.09434
379	18113.27384
380	18111.31103
381	18099.24341
382	18077.48496
383	18062.48593
384	18044.84952
385	18029.7058
386	18004.48544
387	17985.0681
388	17974.19188
389	17957.06137
390	17942.79242
391	17942.05454
392	17917.5342
393	17915.72254
394	17887.66617
395	17870.26631
396	17869.0514
397	17845.42646
398	17827.52042
399	17820.22749
400	17801.67996
401	17780.91783
402	17753.7914
403	17739.83434
404	17732.24212
405	17717.25628
406	17707.12394
407	17696.871
408	17688.61343
409	17672.10111
410	17659.81401
411	17641.92442
412	17613.93308
413	17597.48002
414	17563.37243
415	17540.65192
416	17498.76078
417	17486.01731
418	17476.04752
419	17451.28218
420	17438.84782
421	17412.9084
422	17398.68967
423	17368.17186
424	17353.18097
425	17340.54414
426	17321.38385
427	17305.96509
428	17280.15265
429	17256.42527
430	17246.18097
431	17214.25528
432	17213.60422
433	17200.11829
434	17177.61122
435	17155.27688
436	17141.02002
437	17116.5318
438	17102.78056
439	17073.80054
440	17049.6258
441	17042.2362
442	17016.59004
443	16997.82243
444	16975.87793
445	16963.97521
446	16943.65978
447	16923.56079
448	16902.66265
449	16880.00825
450	16866.91955
451	16855.85522
452	16848.68651
453	16824.88092
454	16809.83378
455	16785.28599
456	16766.10576
457	16738.47509
458	16714.44661
459	16709.71895
460	16698.451
461	16674.4043
462	16656.05313
463	16643.44128
464	16631.3898
465	16611.91677
466	16589.09839
467	16570.22067
468	16537.27385
469	16524.95371
470	16508.17359
471	16494.11463
472	16475.50582
473	16468.06003
474	16442.08486
475	16424.17871
476	16408.0116
477	16388.22564
478	16375.11876
479	16355.17018
480	16339.54104
481	16327.61254
482	16313.31392
483	16297.46447
484	16285.30062
485	16267.65437
486	16253.04253
487	16238.10112
488	16220.62641
489	16206.86698
490	16192.583
491	16175.96974
492	16158.87345
493	16148.2464
494	16126.04944
495	16106.73753
496	16086.16118
497	16079.22174
498	16063.30414
499	16042.14816
500	16035.572
501	16034.25908
502	16028.50978
503	16012.5322
504	15998.19973
505	15984.91567
506	15967.03349
507	15957.38337
508	15948.38435
509	15940.17655
510	15929.17797
511	15920.61212
512	15907.97432
513	15895.06761
514	15873.7246
515	15864.1899
516	15846.69927
517	15841.60025
518	15827.77833
519	15820.09603
520	15818.91787
521	15792.90644
522	15782.59199
523	15770.5088
524	15747.58326
525	15732.04063
526	15722.68505
527	15710.40613
528	15704.85816
529	15696.39455
530	15685.02058
531	15671.86496
532	15642.90978
533	15636.33944
534	15613.94236
535	15601.34784
536	15583.26044
537	15572.41907
538	15557.3355
539	15547.25799
540	15536.00053
541	15525.07816
542	15499.76453
543	15479.8418
544	15462.90038
545	15454.59074
546	15438.53318
547	15426.53295
548	15419.63802
549	15412.20634
550	15400.94026
551	15383.20201
552	15373.26592
553	15362.97989
554	15353.38071
555	15334.88735
556	15315.60512
557	15314.81205
558	15313.59637
559	15302.79637
560	15295.096
561	15274.41785
562	15267.86555
563	15257.09558
564	15239.6359
565	15233.79394
566	15218.53259
567	15211.52688
568	15196.03078
569	15190.37889
570	15165.74015
571	15161.14202
572	15160.29793
573	15141.34625
574	15127.92421
575	15108.67403
576	15094.46707
577	15080.92959
578	15071.67639
579	15052.80981
580	15044.29579
581	15035.06871
582	15025.87738
583	15017.58998
584	15006.99866
585	15002.75819
586	14985.17236
587	14972.71057
588	14966.23319
589	14959.73441
590	14945.33363
591	14935.38628
592	14914.64222
593	14911.44268
594	14901.63047
595	14887.02292
596	14876.68274
597	14862.6106
598	14850.739
599	14839.34267
600	14827.14086
601	14813.8196
602	14796.90311
603	14784.42098
604	14769.68156
605	14766.61207
606	14755.99643
607	14738.36601
608	14729.12938
609	14714.64222
610	14700.76014
611	14697.58289
612	14685.77745
613	14674.9091
614	14656.79393
615	14651.18582
616	14639.98231
617	14629.35845
618	14616.27085
619	14609.80906
620	14602.34933
621	14583.26001
622	14579.54345
623	14552.85249
624	14552.15055
625	14542.62746
626	14531.35243
627	14517.38234
628	14506.14617
629	14496.50832
630	14492.14164
631	14478.79335
632	14468.0227
633	14459.62489
634	14438.35779
635	14430.20676
636	14422.36332
637	14407.93598
638	14396.30121
639	14382.77067
640	14376.2617
641	14363.3076
642	14353.0778
643	14344.14901
644	14338.23261
645	14323.46853
646	14309.35763
647	14290.9031
648	14279.45464
649	14265.14683
650	14244.99325
651	14234.9585
652	14211.25481
653	14193.56579
654	14173.79433
655	14155.48948
656	14148.98283
657	14137.13584
658	14131.85724
659	14120.29058
660	14104.43825
661	14083.48232
662	14077.56048
663	14067.68366
664	14055.89943
665	14045.37112
666	14019.40404
667	14011.8428
668	13995.73643
669	13980.60611
670	13969.80995
671	13953.54576
672	13941.71277
673	13931.21726
674	13915.10046
675	13904.12924
676	13894.28652
677	13890.25534
678	13879.26345
679	13864.73115
680	13847.1356
681	13838.61499
682	13824.85534
683	13807.87319
684	13801.02614
685	13786.03304
686	13770.57351
687	13759.71469
688	13749.94172
689	13729.93582
690	13717.48128
691	13710.04661
692	13695.07629
693	13678.55109
694	13657.89292
695	13649.46257
696	13638.89074
697	13635.30442
698	13622.95692
699	13617.30113
700	13598.38357
701	13584.25788
702	13575.33472
703	13569.36358
704	13559.82629
705	13553.44952
706	13546.99563
707	13533.17919
708	13526.23875
709	13511.37321
710	13499.7429
711	13496.17325
712	13485.81479
713	13476.7793
714	13465.76105
715	13461.70576
716	13445.78768
717	13427.7353
718	13414.30998
719	13397.422
720	13392.3743
721	13387.02626
722	13377.92865
723	13364.92134
724	13351.64814
725	13342.60573
726	13327.79846
727	13313.65739
728	13300.55693
729	13294.83928
730	13281.13678
731	13274.98667
732	13267.59661
733	13256.41108
