iter	RMSE
0	74968.49747
1	72763.29287
2	70818.37526
3	68980.98659
4	67232.65768
5	65607.24902
6	64197.35135
7	62700.06518
8	61321.17075
9	59936.44369
10	58790.2614
11	57709.30191
12	56663.13654
13	55668.64218
14	54743.93768
15	53927.19153
16	53111.61628
17	52426.33295
18	51731.48217
19	51061.40911
20	50451.16601
21	49914.18792
22	49454.6096
23	48976.49547
24	48583.94016
25	48186.81676
26	47759.95993
27	47397.48269
28	47043.67864
29	46773.81574
30	46486.38134
31	46162.48446
32	45830.26603
33	45551.645
34	45332.38493
35	45128.19952
36	44956.2793
37	44779.9706
38	44540.93251
39	44361.82931
40	44234.56506
41	44086.768
42	43960.17262
43	43814.16357
44	43690.52539
45	43565.84214
46	43458.99817
47	43329.57113
48	43207.7115
49	43091.39852
50	42986.02662
51	42909.68736
52	42789.95616
53	42762.61003
54	42740.33446
55	42658.82789
56	42631.31622
57	42530.90048
58	42463.29002
59	42404.28038
60	42350.68765
61	42292.62891
62	42260.25875
63	42188.35456
64	42160.30804
65	42105.04496
66	41990.54956
67	41929.5594
68	41816.41662
69	41801.16102
70	41730.79024
71	41656.29581
72	41590.12138
73	41539.36081
74	41458.07013
75	41409.01366
76	41358.66782
77	41281.73636
78	41261.55762
79	41199.01695
80	41178.06088
81	41137.42357
82	41126.33788
83	41115.14272
84	41034.82553
85	41002.06102
86	40991.35838
87	40946.29324
88	40908.88096
89	40877.17831
90	40868.36904
91	40852.21544
92	40836.68393
93	40828.20174
94	40800.30395
95	40769.72279
96	40757.35531
97	40747.82007
98	40713.82782
99	40636.68804
100	40626.23698
101	40559.64433
102	40506.24644
103	40447.08233
104	40424.29632
105	40387.11595
106	40366.76035
107	40358.16764
108	40332.82457
109	40318.93057
110	40292.21783
111	40279.17822
112	40234.25966
113	40205.13801
114	40185.60097
115	40128.29809
116	40068.32126
117	40026.90046
118	39972.17788
119	39953.08661
120	39934.02555
121	39926.94817
122	39906.14065
123	39889.68311
124	39885.8204
125	39847.80905
126	39838.38542
127	39803.25375
128	39776.27409
129	39770.91476
130	39762.52625
131	39733.43116
132	39711.77377
133	39688.97962
134	39679.02566
135	39648.85723
136	39631.13895
137	39622.10693
138	39600.36891
139	39574.32899
140	39569.86207
141	39553.46759
142	39533.81538
143	39509.89285
144	39458.01253
145	39444.7945
146	39426.91503
147	39409.0405
148	39372.70556
149	39353.09279
150	39311.32766
151	39304.56409
152	39291.15499
153	39286.27749
154	39248.41744
155	39231.93916
156	39228.76153
157	39175.92357
158	39149.91764
159	39107.26147
160	39094.417
161	39082.26587
162	39065.19545
163	39036.84071
164	39002.72796
165	38995.69699
166	38991.95825
167	38978.54195
168	38946.26498
169	38933.28136
170	38883.43631
171	38857.44405
172	38829.11841
173	38809.64156
174	38791.73372
175	38764.719
176	38743.74745
177	38737.36091
178	38725.93636
179	38724.86117
180	38682.09855
181	38678.26797
182	38649.34459
183	38642.3732
184	38599.79131
185	38583.87
186	38568.88362
187	38560.64096
188	38557.89279
189	38549.98563
190	38543.69572
191	38519.11373
192	38486.23906
193	38466.71811
194	38464.88448
195	38424.95982
196	38391.07474
197	38372.08812
198	38365.545
199	38333.70894
200	38328.32175
201	38321.57044
202	38317.1327
203	38315.53873
204	38311.53472
205	38296.09579
206	38261.48708
207	38259.62437
208	38257.45068
209	38232.92523
210	38231.38801
211	38216.87511
212	38201.89589
213	38169.33447
214	38145.00239
215	38143.35853
216	38122.75875
217	38121.52682
218	38100.24096
219	38081.31492
220	38079.67927
221	38078.20786
222	38072.27395
223	38058.14777
224	38052.66756
225	38035.96864
226	38017.42377
227	37988.16024
228	37971.63329
229	37963.41065
230	37949.77377
231	37932.50047
232	37905.31705
233	37890.96512
234	37865.09348
235	37863.9444
236	37862.76447
237	37833.24603
238	37832.39909
239	37831.33341
240	37818.15837
241	37799.13584
242	37795.51738
243	37773.96016
244	37744.5011
245	37719.11348
246	37691.40319
247	37678.37463
248	37676.70248
249	37675.44635
250	37666.95288
251	37633.85478
252	37618.38829
253	37590.08243
254	37588.94643
255	37573.10043
256	37552.47489
257	37521.04866
258	37515.20062
259	37491.7195
260	37490.50621
261	37455.92571
262	37440.99102
263	37426.51136
264	37409.57321
265	37408.15394
266	37407.19813
267	37406.26987
268	37387.4625
269	37384.32101
270	37362.1569
271	37329.81895
272	37328.74298
273	37324.19758
274	37300.82367
275	37299.58411
276	37276.90449
277	37260.0481
278	37259.23795
279	37255.1643
280	37254.0145
281	37237.91895
282	37229.92511
283	37227.52081
284	37200.56594
285	37181.30767
286	37152.35966
287	37149.76084
288	37148.64685
289	37137.18249
290	37134.69155
291	37132.44868
292	37109.58548
293	37089.4129
294	37058.07786
295	37025.48491
296	36997.18434
297	36994.59293
298	36993.57311
299	36966.40423
