iter	Passed	Remaining
0	2	268
1	5	248
2	7	235
3	9	219
4	12	232
5	14	232
6	17	227
7	19	226
8	22	224
9	24	223
10	27	221
11	29	218
12	32	215
13	34	212
14	36	207
15	38	203
16	41	201
17	43	197
18	45	195
19	48	193
20	50	190
21	52	186
22	54	183
23	56	180
24	59	177
25	61	174
26	63	171
27	65	168
28	67	165
29	69	162
30	72	160
31	74	158
32	77	156
33	79	155
34	82	152
35	84	150
36	86	147
37	89	145
38	91	143
39	93	140
40	96	138
41	98	135
42	100	132
43	102	130
44	104	127
45	107	125
46	109	123
47	111	120
48	113	118
49	115	115
50	117	113
51	120	111
52	123	109
53	125	106
54	127	104
55	129	102
56	132	99
57	134	97
58	137	95
59	140	93
60	143	91
61	145	89
62	148	87
63	151	85
64	154	83
65	158	81
66	161	79
67	163	76
68	165	74
69	169	72
70	171	70
71	173	67
72	176	65
73	178	62
74	180	60
75	183	57
76	184	55
77	187	53
78	189	50
79	192	48
80	194	45
81	196	43
82	198	40
83	201	38
84	203	35
85	205	33
86	207	31
87	210	28
88	212	26
89	214	23
90	217	21
91	218	19
92	220	16
93	223	14
94	225	11
95	226	9
96	229	7
97	231	4
98	234	2
99	236	0
