iter	RMSE
0	0.3304424895
1	0.3136366173
2	0.2993852485
3	0.2872812727
4	0.2768634164
5	0.2679621944
6	0.2607493628
7	0.2540248076
8	0.2486820841
9	0.2444409439
10	0.2402845045
11	0.2371222694
12	0.2343338128
13	0.2318832032
14	0.2299734766
15	0.2283277925
16	0.2268984333
17	0.22579205
18	0.2246543114
19	0.2236950648
20	0.2228641944
21	0.2221109225
22	0.2215078802
23	0.2208245266
24	0.2202743292
25	0.2198119636
26	0.2190925837
27	0.2186272758
28	0.2181774894
29	0.2178219244
30	0.2174553674
31	0.217228181
32	0.2169448441
33	0.2166470416
34	0.2164287212
35	0.2162740589
36	0.2160874361
37	0.215904513
38	0.2157451673
39	0.2156091558
40	0.2148631527
41	0.2146726304
42	0.2142694345
43	0.2136183546
44	0.2134485415
45	0.2133019921
46	0.2130555755
47	0.2129294415
48	0.2127367591
49	0.2124488386
50	0.2122369581
51	0.2120608851
52	0.2118508676
53	0.211770283
54	0.2113219102
55	0.2112292968
56	0.2111677428
57	0.2107986511
58	0.2103570825
59	0.210311264
60	0.2098711084
61	0.2098066442
62	0.2097160656
63	0.2094573833
64	0.2094228945
65	0.2093634076
66	0.2093290594
67	0.209192526
68	0.2090715071
69	0.2090249133
70	0.2089150697
71	0.2088269739
72	0.208758202
73	0.2086535188
74	0.208632667
75	0.2083649622
76	0.2082557394
77	0.2082179052
78	0.2080441907
79	0.2079823531
80	0.2078938961
81	0.2078139143
82	0.2076791361
83	0.2076279373
84	0.2074627472
85	0.2073142138
86	0.2070310796
87	0.2069061856
88	0.2067369849
89	0.2067041005
90	0.2064583571
91	0.2063674947
92	0.2062823797
93	0.2062516627
94	0.2061864896
95	0.2061445773
96	0.2060793476
97	0.2059788268
98	0.2059376982
99	0.2058927852
